pr_number,uncertainty_score
9115,2.8433361106483392
4403,2.678147196966919
14431,2.652529857332574
10582,2.5935772360007836
9551,2.5930719133652573
12424,2.5823761117290043
12564,2.581444086870259
12661,2.55051864601165
4729,2.542408049477791
5230,2.526326350664109
5137,2.5126049011099685
14486,2.504955181083777
6648,2.5046623887618473
14411,2.5009550423600784
6884,2.496902618761967
6785,2.491166098560518
8692,2.48792932526686
12127,2.4743521724185316
14085,2.468625356374242
11756,2.459370541668967
6616,2.44442691508194
7872,2.4417499980581785
14685,2.4366345037969945
13749,2.434852538080888
11252,2.4341144452432792
